iter	Passed	Remaining
1298	17002	2630
1299	17016	2617
1300	17030	2605
1301	17045	2592
1302	17068	2580
1303	17081	2567
1304	17093	2554
1305	17106	2541
1306	17119	2527
1307	17131	2514
1308	17143	2501
1309	17156	2488
1310	17169	2475
1311	17182	2462
1312	17195	2448
1313	17207	2435
1314	17219	2422
1315	17232	2409
1316	17244	2396
1317	17256	2382
1318	17269	2369
1319	17281	2356
1320	17293	2343
1321	17306	2330
1322	17318	2317
1323	17331	2303
1324	17342	2290
1325	17355	2277
1326	17368	2264
1327	17381	2251
1328	17392	2237
1329	17405	2224
1330	17416	2211
1331	17429	2198
1332	17441	2185
1333	17453	2171
1334	17465	2158
1335	17478	2145
1336	17490	2132
1337	17502	2119
1338	17515	2106
1339	17529	2093
1340	17543	2080
1341	17556	2066
1342	17568	2053
1343	17580	2040
1344	17592	2027
1345	17604	2014
1346	17616	2001
1347	17629	1987
1348	17642	1974
1349	17656	1961
1350	17669	1948
1351	17682	1935
1352	17695	1922
1353	17707	1909
1354	17721	1896
1355	17734	1883
1356	17747	1870
1357	17760	1857
1358	17773	1844
1359	17786	1830
1360	17799	1817
1361	17812	1804
1362	17825	1791
1363	17838	1778
1364	17852	1765
1365	17867	1752
1366	17881	1739
1367	17894	1726
1368	17906	1713
1369	17919	1700
1370	17932	1687
1371	17945	1674
1372	17957	1661
1373	17970	1647
1374	17983	1634
1375	17995	1621
1376	18007	1608
1377	18019	1595
1378	18032	1582
1379	18044	1569
1380	18057	1555
1381	18070	1542
1382	18083	1529
1383	18097	1516
1384	18110	1503
1385	18122	1490
1386	18134	1477
1387	18146	1464
1388	18159	1451
1389	18171	1438
1390	18183	1424
1391	18196	1411
1392	18209	1398
1393	18221	1385
1394	18234	1372
1395	18246	1359
1396	18258	1346
1397	18271	1333
1398	18283	1319
1399	18296	1306
1400	18309	1293
1401	18322	1280
1402	18335	1267
1403	18348	1254
1404	18361	1241
1405	18374	1228
1406	18388	1215
1407	18401	1202
1408	18414	1189
1409	18427	1176
1410	18440	1163
1411	18454	1150
1412	18468	1137
1413	18480	1124
1414	18493	1110
1415	18505	1097
1416	18517	1084
1417	18530	1071
1418	18542	1058
1419	18555	1045
1420	18567	1032
1421	18580	1019
1422	18593	1006
1423	18606	993
1424	18621	980
1425	18634	967
1426	18648	954
1427	18663	941
1428	18678	928
1429	18692	915
1430	18705	901
1431	18720	888
1432	18734	875
1433	18747	862
1434	18761	849
1435	18774	836
1436	18788	823
1437	18802	810
1438	18816	797
1439	18829	784
1440	18842	771
1441	18856	758
1442	18870	745
1443	18884	732
1444	18898	719
1445	18911	706
1446	18925	693
1447	18938	680
1448	18951	667
1449	18964	653
1450	18978	640
1451	18992	627
1452	19006	614
1453	19021	601
1454	19035	588
1455	19049	575
1456	19062	562
1457	19076	549
1458	19089	536
1459	19101	523
1460	19114	510
1461	19128	497
1462	19142	484
1463	19154	471
1464	19166	457
1465	19178	444
1466	19191	431
1467	19203	418
1468	19216	405
1469	19229	392
1470	19242	379
1471	19255	366
1472	19268	353
1473	19281	340
1474	19294	327
1475	19306	313
1476	19319	300
1477	19332	287
1478	19346	274
1479	19360	261
1480	19374	248
1481	19388	235
1482	19401	222
1483	19413	209
1484	19425	196
1485	19438	183
1486	19450	170
1487	19463	156
1488	19475	143
1489	19487	130
1490	19505	117
1491	19518	104
1492	19531	91
1493	19543	78
1494	19557	65
1495	19570	52
1496	19582	39
1497	19595	26
1498	19607	13
1499	19620	0
